text,label
"An kashe mutane da yawa a harin da aka kai a kauyenmu jiya da dare",conflict
"Mayakan sun kori mutane daga gidajensu, yanzu muna zaune a karkashin bishiya",displacement
"Yara suna mutuwa saboda yunwa, babu abinci a wannan gari",food_insecurity
"Cutar kwalara ta bazu a duk fadin karamar hukuma, asibiti ya cika da marasa lafiya",disease_outbreak
"Ambaliyar ruwa ta mamaye gidaje da gonakin manoma, mutane sun rasa komai",flood
"An yi kashe-kashen soja da 'yan bindiga tsakanin sojoji da masu tayar da kayar baya",conflict
"Mun bar gidanmu saboda tsoron hare-haren boko haram, muna gudun hijira yanzu",displacement
"Ba mu da abinci na mako guda, yara suna kuka saboda yunwa",food_insecurity
"Cutar sankarau ta bazu, an rufe makarantu da kasuwanni",disease_outbreak
"Ruwan sama ya yi yawa sosai, kogi ya cika har ya mamaye unguwanni",flood
"Kasuwa tana gudana yadda ya kamata a yau, mutane suna saye da sayarwa lafiya lau",no_crisis
"An soma gina sabuwar makaranta a ƙauyen mu, yara za su iya karatu",no_crisis
"Gwamnati ta raba agajin abinci ga al'umma a yau bayan ambaliyar ruwa ta lalata gonakinsu",flood
"'Yan bindiga sun kai hari a kasuwar garin Maiduguri da safe, mutane da dama sun ji rauni",conflict
"Dubban mutane sun gudu daga gida saboda rikicin manoma da makiyaya",displacement
"Manoman da suka rasa gonakinsu saboda rikici yanzu ba su da abinci",food_insecurity
"An gano sabon nau'in cuta mai yaduwa a jihar Borno, hukumomi suna bincike",disease_outbreak
"Ruwan sama mai karfi ya rushe gidaje a gundumar Jigawa, mutane suna bukatar taimako",flood
"Harkar tattalin arziki na tafiya yadda ya kamata, kasuwa ta buɗe yau",no_crisis
"Bikin aure ya yi nasara a ƙauyen, dukkan iyali sun zo su yi murna",no_crisis
"Sojoji da 'yan ta'adda sun yi fama da bindiga a kusa da kan iyaka",conflict
"Refugees sun isa sansanin, suna bukatar taimako na gaggawa da abinci da magani",displacement
"Yawan farashin abinci ya tashi sama sosai, talakawa ba su iya sayen gari",food_insecurity
"Cutar polio ta koma, an gano yara da yawa da cututtuka a arewacin Najeriya",disease_outbreak
"Ruwa ya mamaye titunan gari bayan hadari mai karfi, motoci sun makale",flood
"Rikici tsakanin kabilu biyu ya fashe a garin, an kona gidaje da dama",conflict
"Mutane suna barin kauyen su ne saboda barazanar hare-hare, ana neman wurin mafaka",displacement
"Gwamnatin jiha ta kai abinci ga mazauna da yunwa ke addabar su",food_insecurity
"An rufe asibiti saboda cutar ta bazu tsakanin ma'aikata, marasa lafiya ba su da magani",disease_outbreak
"Dausayi ya lalace, gonaki sun nutse cikin ruwa, manoma sun rasa duk amfanin gona",flood
"Yara suna tafi makaranta lafiya lau a yau, malamai sun zo aikin su",no_crisis
"An bude sabuwar hanya a yankin, zai taimaka wa kasuwanci",no_crisis
"Harin da aka kai a kauyuka ya bar mutane da yawa ba su da matsuguni",conflict
"An tilasta wa al'umma barin gidajensu, suna tafiya a ƙasa da ƙafa",displacement
"Tsada da yunwa sun addabi mazauna yankin, yara sun kasa zuwa makaranta saboda rashin abinci",food_insecurity
"Annoba ta bazu cikin sauri, mutane da yawa suna mutuwa a kowace rana",disease_outbreak
"Ambaliyar ta lalata duk abin da mutane suka tara tsawon shekaru",flood
"Damina ta zo da kyau, manoma suna farin ciki da amfanin gona mai kyau",no_crisis
"Tarayyar Afrika ta tattauna game da zaman lafiya da ci gaban yankin",no_crisis
